id,Genus,Species,Binomial,Day,Month,Year,Nests,Foundresses,Plus,Nest_method,Grouped_nestinfo,Nest_substrate,Locality,Province/State,Country,Latitude,Longitude,Coordinate_method,Coordinate_accuracy,Source,Source_Type
1,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,1,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
2,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,2,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
3,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,2,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
4,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,3,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
5,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,3,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
6,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,3,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
7,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,3,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
8,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
9,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
10,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
11,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
12,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
13,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,4,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
14,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
15,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
16,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
17,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
18,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
19,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,5,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
20,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
21,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
22,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
23,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
24,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
25,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
26,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
27,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,6,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
28,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,7,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
29,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,7,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
30,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,7,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
31,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,7,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
32,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,9,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
33,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,9,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
34,Polistes,infuscatus,Polistes_infuscatus,7,2,1965,1,10,,1,,2,25 miles west of Cali,,Colombia,3.418116,-77.075961,estimated,2,West Eberhard 1969,Paper
35,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
36,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
37,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
38,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
39,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
40,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
41,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
42,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
43,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
44,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
45,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
46,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
47,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
48,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
49,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
50,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
51,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
52,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
53,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
54,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
55,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
56,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,2,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
57,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,3,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
58,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,3,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
59,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,3,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
60,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,3,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
61,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,4,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
62,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,4,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
63,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,6,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
64,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,7,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
65,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
66,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
67,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
68,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
69,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
70,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
71,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
72,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
73,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
74,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
75,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
76,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
77,Polistes,fuscatus,Polistes_fuscatus,16_21,6,1965,1,1,,1,,2,Ann Arbor,Michigan,USA,42.281389,-83.748333,estimated,3,West Eberhard 1969,Paper
