Source	Citation
Bagnères et al 1996	"Bagnères A.-G., Lorenzi M.C., Clément J. L., Dusticier G., Turillazzi S. 1996. Chemical usurpation of a nest by paper wasp parasites. Science, 272: 889-892."
Bohm and Stockhammer 1977	"Bohm, M. K., & Stockhammer, K. A. (1977). The nesting cycle of a paper wasp, Polistes metricus (Hymenoptera: Vespidae). Journal of the Kansas Entomological Society, 275-286."
Cant et al 2006	"Cant, M. A., Llop, J. B., & Field, J. (2006). Individual variation in social aggression and the probability of inheritance: theory and a field test. The American Naturalist, 167(6), 837-852."
Cervo and Lorenzi 1996	"Cervo R., Lorenzi M.C. 1996. Inhibition of host queen reproductive capacity by the obligate social parasite Polistes atrimandibularis (Hymenoptera Vespidae). Ethology, 102: 1042-1047."
Cervo and Turillazzi 1985	"Cervo, R., & Turillazzi, S. (1985). Associative foundation and nesting sites in Polistes nimpha. Naturwissenschaften, 72(1), 48-49."
Cervo et al 1990	"Cervo R., Lorenzi M.C., Turillazzi S. 1990. Nonaggressive usurpation of the nest of Polistes biglumis bimaculatus by the social parasite Sulcopolistes atrimandibularis (Hymenoptera Vespidae). Insectes Sociaux 37(4): 333-347."
Cervo et al 2008	"Cervo, R., Dapporto, L., Beani, L., Strassmann, J. E., & Turillazzi, S. (2008). On status badges and quality signals in the paper wasp Polistes dominulus: body size, facial colour patterns and hierarchical rank. Proceedings of the Royal Society of London B: Biological Sciences, 275(1639), 1189-1196."
Clapperton and Dymock 1997 	"Clapperton, B.K. & Dymock, J.J. (1997). Growth and survival of colonies of the Asian paper wasp, Polistes chinensis antennalis (Hymenoptera: Vespidae), in New Zealand. N. Z. J. Zool., 24, 9–15"
Clouse 2001	"Clouse, R. (2001). Some effects of group size on the output of beginning nests of Mischocyttarus mexicanus (Hymenoptera: Vespidae). Florida Entomologist, 418-425."
Corn 1972 	"Corn, M.L. (1972). Notes on the biology of Polistes carnifex (Hymenoptera, Vespidae) in Costa Rica and Colombia. Psyche (Stuttg.), 79, 150–157."
Costanzi et al 2013	"Costanzi E., Bagnères A.-G., Lorenzi M.C. 2013. Nestmate recognition in social wasp is based on the relative proportions of cuticular hydrocarbons within species-specific ranges of hydrocarbon concentrations. PLoS ONE, 8(5): e65107."
Dani and Cervo 1992	"Dani, F. R., & Cervo, R. (1992). Reproductive strategies following nest loss in Polistes gallicus (L.)(Hymenoptera Vespidae). Ethology Ecology & Evolution, 4(sup1), 49-53."
de Castro et al. 2014	"Castro, M. M. D., Avelar, D. L., Souza, A. R. D., & Prezoto, F. (2014). Nesting substrata, colony success and productivity of the wasp Mischocyttarus cassununga. Revista Brasileira de entomologia, 58(2), 168-172."
de Souza et al. 2017	"de Souza, A. R., Barbosa, B. C., da Silva, R. C., Prezoto, F., Lino-Neto, J., & do Nascimento, F. S. (2017). No Evidence of Intersexual Kin Recognition by Males of the Neotropical Paper Wasp Polistes versicolor. Journal of Insect Behavior, 30(2), 180-187."
Dropkin and Gamboa 1981	"Dropkin, J. A., & Gamboa, G. J. (1981). Physical comparisons of foundresses of the paper wasp, Polistes metricus (Hymenoptera: Vespidae). The Canadian Entomologist, 113(06), 457-461."
Ehmer et al 2001	"Ehmer, B., Reeve, H. K., & Hoy, R. R. (2001). Comparison of brain volumes between single and multiple foundresses in the paper wasp Polistes dominulus. Brain, behavior and evolution, 57(3), 161-168."
Field et al 1998	"Field, J., Solís, C. R., Queller, D. C., & Strassmann, J. E. (1998). Social and genetic structure of paper wasp cofoundress associations: tests of reproductive skew models. The American Naturalist, 151(6), 545-563."
Fukuda et al 2003	"Fukuda, H., KOJIMA, J. I., Tsuchida, K., & SAITO, F. (2003). Size_dependent reproductive dominance in foundresses of Ropalidia plebeiana, an Australian paper wasp forming nest aggregations (Hymenoptera: Vespidae). Entomological Science, 6(4), 217-222."
Furuichi 2015	"Furuichi, S. (2015). Behavioral ecology of nest building: construction of nest defensive structure in paper wasps Polistes chinensis antennalis (Doctoral dissertation, Kyushu University)."
Furuichi and Kasuya 2013	"Furuichi, S., & Kasuya, E. (2013). Mothers vigilantly guard nests after partial brood loss: a cue of nest predation risk in a paper wasp. Ecological entomology, 38(4), 339-345."
Gadagkar et al 1982	"Gadagkar, R., Gadgil, M., Joshi, N. V., & Mahabal, A. S. (1982). Observations on the natural history and population ecology of the social wasp Ropalidia marginata (Lep.) from Peninsular India (Hymenoptera: Vespidae). Proceedings: Animal Sciences, 91(6), 539-552."
Gamboa 1980	"Gamboa, G. J. (1980). Comparative timing of brood development between multiple_and single_foundress colonies of the paper wasp, Polistes metricus. Ecological Entomology, 5(3), 221-225."
Gamboa et al 1992	"Gamboa, G. J., Wacker, T. L., Duffy, K. G., Dobson, S. W., & Fishwild, T. G. (1992). Defence against intraspecific usurpation by paper wasp cofoundresses (Polistes fuscatus, Hymenoptera: Vespidae). Canadian Journal of Zoology, 70(12), 2369-2372."
Gamboa et al 2002	"Gamboa, G. J., Greig, E. I., & Thom, M. C. (2002). The comparative biology of two sympatric paper wasps, the native Polistes fuscatus and the invasive Polistes dominulus (Hymenoptera, Vespidae). Insectes Sociaux, 49(1), 45-49."
Gamboa et al 2004	"Gamboa, G. J., Noble, M. A., Thom, M. C., Togal, J. L., Srinivasan, R., & Murphy, B. D. (2004). The comparative biology of two sympatric paper wasps in Michigan, the native Polistes fuscatus and the invasive Polistes dominulus (Hymenoptera, Vespidae). Insectes Sociaux, 51(2), 153-157."
Gamboa et al. 1978	"Gamboa, G. J., Heacock, B. D., & Wiltjer, S. L. (1978). Division of labor and subordinate longevity in foundress associations of the paper wasp, Polistes metricus (Hymenoptera: Vespidae). Journal of the Kansas Entomological society, 343-352."
Giannotti 1995	"Giannotti, E. (1995). Notes on the biology of Po/istes (Epicnemius) subsericeus Saussure, 1854 (Hymenoptera, Vespidae). Bioikos, 10(1/2)."
Giannotti 1997	"Giannotti, E. (1997). Biology of the wasp Polistes (epicnemius) cinerascens Saussure (Hymenoptera: Vespidae). Anais da Sociedade Entomológica do Brasil, 26(1), 61-67."
Giannotti 1998	"Giannotti, E. (1998). The colony cycle of the social wasp, Mischocyttarus cerberus styx Richards, 1940 (Hymenoptera, Vespidae). Revista Brasileira de Entomologia, 41(2-4), 217-224."
Giannotti 2012	"Giannotti, E. (2012). Notes on the biology of Polistes simillimus Zikán (Hymenoptera, Vespidae). Bioikos, 8(1/2)."
Gibo 1978	"Gibo, D. L. (1978). The selective advantage of foundress associations in Polistes fuscatus (Hymenoptera: Vespidae): a field study of the effects of predation on productivity. The Canadian Entomologist, 110(05), 519-540."
Gibo and Metcalf 1978	"Gibo, D. L., & Metcalf, R. A. (1978). Early survival of Polistes apachus (Hymenoptera: Vespidae) colonies in California: a field study of an introduced species. The Canadian Entomologist, 110(12), 1339-1343."
Gobbi et al 2006	"Gobbi, N., Noll, F. B., & Penna, M. A. (2006). “Winter” aggregations, colony cycle, and seasonal phenotypic change in the paper wasp Polistes versicolor in subtropical Brazil. Naturwissenschaften, 93(10), 487-494."
Gorton 1978	"Gorton Jr, R. E. (1978). Observations on the nesting behavior of Mischocyttarus immarginatus (Rich.)(Vespidae: Hymenoptera) in a dry forest in Costa Rica. Insectes Sociaux, 25(3), 197-204."
Grechka and Rusina 1990	"Grechka E.O., Rusina L.Yu. Comparative study of ecology and behaviour of Polistes wasps in Kherson region // Proceedings of Russian Section of IUSSI, Leningrad, 1990. P. 63-68. (In Russian)"
Gunnels 2007	"Gunnels, C. W. (2007). Seasonally variable eusocially selected traits in the paper wasp, Mischocyttarus mexicanus. Ethology, 113(7), 648-660."
Gunnels et al. 2008	"Gunnels, C. W., Dubrovskiy, A., & Avalos, A. (2008). Social interactions as an ecological constraint in a eusocial insect. Animal Behaviour, 75(2), 681-691."
